Question,Example_A,Example_B,Example_C,Example_D,Answer,Explanation
다음 문장에서 밑줄 친 부분이 문법적으로 올바른지 판단하시오. Neither of the students _____ submitted their assignment yet.,has,have,had,having,a. has,"'Neither of the students'는 단수이므로 'has'를 사용합니다. 'their'는 복수 소유형용사지만, 주어의 수에 맞춰야 하므로 여기서는 문법적 오류는 없습니다."
다음 문장을 올바른 형태로 고치시오. He _____ like pizza.,don't,doesn't,didn't,isn't,b. doesn't,'He'는 3인칭 단수이므로 'doesn't'를 사용해야 합니다.
다음 문장에서 밑줄 친 부분 중 문법적으로 적절하지 않은 것을 고르시오. I am interesting in learning new languages.,am,interesting,in,learning,b. interesting,'interested'가 맞는 표현입니다. 현재 진행형이 아니라 형용사로 써야 합니다.
"다음 문장에서 빈칸에 들어갈 가장 적절한 것을 고르시오. If I ___ you, I would take that job.",am,was,were,be,c. were,가정법 과거입니다. 'If I were you'가 올바른 표현입니다.
다음 문장에서 문법적 오류를 찾으시오. She is the most smartest girl in the class.,She,is,the most smartest,in the class,c. the most smartest,'most'와 'smartest'는 함께 쓰지 않습니다. 'smartest'만 사용하거나 'most smart'를 써야 합니다.
다음 문장에서 올바른 전치사를 고르시오. She is good _____ playing the piano.,on,in,at,about,c. at,'good at'은 숙어로서 '잘하는 것'을 나타냅니다.
다음 문장에서 밑줄 친 부분 중 문법적으로 오류가 있는 것을 고르시오. She don't like to play tennis.,don't,like,to play,She,a. don't,이 문장은 'she' 주어와 함께 동사 'do'의 부정형 'don't'가 잘못 사용되었습니다. 'she'는 3인칭 단수이므로 'doesn't'가 맞습니다.
다음 중 올바른 문장을 고르시오.,He can swims fast.,He can swim fast.,He can to swim fast.,He can swimming fast.,b. He can swim fast.,"조동사 'can' 뒤에는 동사 원형이 와야 하며, 따라서 'swim'이 정답입니다."
다음 문장에서 빈칸에 들어갈 가장 적절한 표현은 무엇입니까? I have been waiting for you ___ two hours.,since,for,during,from,b. for,"'for'는 기간을 나타낼 때 사용하며, 'for two hours'는 '2시간 동안'을 의미합니다."
"다음 문장에서 문법적으로 올바른 문장을 고르시오. If I ___ you, I would take that job.",was,am,were,be,c. were,가정법 과거에서는 'if + 주어 + were'를 사용합니다.
"다음 문장에서 어법상 자연스럽지 않은 부분을 고르시오. Despite of the heavy rain, we went out.",Despite,of,the heavy rain,we went out,b. of,'despite'는 'of' 없이 바로 명사 또는 동명사를 수반합니다. 올바른 표현은 'Despite the heavy rain'입니다.
다음 문장에서 빈칸에 들어갈 가장 적절한 표현은 무엇입니까? She ___ her homework before dinner.,finishes,finished,has finished,is finishing,c. has finished,현재완료 'has finished'는 완료 시점이 현재와 관련 있을 때 사용됩니다.
다음 문장에서 문법적 오류를 수정하시오. Neither of the students has completed their homework.,their → his/her,None of the students has completed his/her homework.,Both of the students have completed their homework.,None of the students have completed their homework.,a. their → his/her,'Neither'는 단수 주어이므로 'their' 대신 'his/her' 또는 'his'를 써야 합니다. 올바른 문장은 'Neither of the students has completed his homework.'입니다.
빈칸에 알맞은 것을 고르시오. She ________ to the music every evening.,listen,listens,listening,listened,b. listens,동사 'she'에 맞는 3인칭 단수 현재형은 'listens'입니다. 현재형 동사에 's'를 붙이는 규칙을 이해하는 문제입니다.
다음 문장에서 밑줄 친 부분 중 문법적 오류가 있는 것을 고르시오. Neither of the students has finished their homework.,Neither,has,finished,their,d. their,'Neither'는 단수 의미이기 때문에 'their' 대신 'his or her' 또는 'its'가 맞습니다.
"빈칸에 알맞은 것을 고르시오. If I _______ enough money, I will buy a new car.",have,has,had,having,a. have,"조건문에서 'if'절은 현재형을 사용하며, 'if + 현재형, will + 동사원형' 구조입니다."
"다음 문장에서 문법적 오류를 찾으시오. Having finished the project, the team went out for dinner.",Having finished,the team,went out,for dinner,b. the team,"'Having finished'는 주어 'the team'과 일치하지 않아 문법적 오류입니다. 이 구조는 주어가 'Having' 뒤에 오는 분사구문으로, 주어와 일치해야 합니다."
다음 문장에서 올바른 시제는 무엇인가요? They _______ playing soccer every Saturday.,enjoy,enjoyed,are enjoying,will enjoy,c. are enjoying,"현재 진행형 시제는 'are + 동사 원형 + ing'로, 매주 반복하는 행동에 적합합니다."
다음 중 수동태로 바꿀 수 없는 문장은 무엇인가요? The teacher explains the lesson.,The lesson is explained by the teacher.,The lesson was explained by the teacher.,The lesson is being explained by the teacher.,The lesson explains by the teacher.,d. The lesson explains by the teacher.,"'explains'는 능동태이며, 수동태로 바꿀 수 없는 표현입니다."
빈칸에 알맞은 것을 고르시오. I wish I _______ taller.,am,were,was,be,b. were,'Wish' 표현에서는 현재 사실과 반대되는 소망을 나타낼 때 'were'를 사용합니다.
"다음 문장에서 밑줄 친 부분 중 문법적으로 오류가 없는 것을 고르시오. She doesn't like coffee, but she enjoys tea.",doesn't,like,enjoys,but,a. doesn't,이 문장은 부정문과 긍정문이 연결된 복합 문장입니다. 문법적으로 올바른 형태입니다.
다음 문장에서 밑줄 친 부분 중 맞는 것을 고르시오. They ____ to the park every Sunday.,go,goes,going,gone,a. go,이 문장은 복수 주어 'They'와 함께 현재 시제 동사 'go'의 기본형을 사용합니다.
"다음 문장에서 밑줄 친 부분 중 문법적으로 올바른 것을 고르시오. If I ____ you, I would apologize.",am,was,were,be,c. were,조건문에서는 'If I were you'와 같은 가정법 과거를 사용합니다.
다음 문장에서 밑줄 친 부분 중 문법적으로 올바른 것을 고르시오. She has been working here ____ five years.,since,for,during,from,b. for,기간을 나타낼 때 'for + 기간'을 사용합니다.
다음 문장에서 밑줄 친 부분 중 문법적으로 올바른 것을 고르시오. Neither of the students ____ prepared for the exam.,is,are,was,were,a. is,'Neither'는 단수 의미이므로 동사도 단수형 'is'를 사용해야 합니다.
다음 문장에서 밑줄 친 부분 중 문법적으로 틀린 것을 고르시오. They has a big house.,has,a,big,house,a. has,"주어 'They'는 복수이므로 동사 'have'를 사용해야 하며, 'has'는 틀렸습니다."
다음 문장에서 밑줄 친 부분 중 문법적으로 올바른 것을 고르시오. She will visit her grandparents ____ the weekend.,on,at,in,during,a. on,'on the weekend'은 적절한 표현입니다.
다음 문장에서 밑줄 친 부분 중 문법적으로 올바른 것을 고르시오. He suggested that she ____ the report by tomorrow.,finish,finishes,to finish,finished,a. finish,제안이나 요구를 나타내는 동사 'suggest'는 'that + 주어 + 동사원형' 구조를 취합니다.
"다음 문장에서 밑줄 친 부분 중 문법적으로 올바른 것을 고르시오. If he ____ earlier, he wouldn't have missed the train.",arrives,arrived,had arrived,would arrive,c. had arrived,가정법 과거완료 구조입니다. 과거 사실과 반대의 상황을 나타냅니다.
다음 문장에서 밑줄 친 부분 중 문법적으로 옳은 것을 고르시오. She ________ to the store every morning.,goes,go,going,gone,a. goes,현재 시제의 일반 동사 'go'의 3인칭 단수형은 'goes'입니다.
다음 문장에서 빈칸에 알맞은 말을 고르시오. They ________ for two hours when I arrived.,have been waiting,had been waiting,are waiting,waiting,b. had been waiting,"과거 진행형의 완료형으로, 'when' 뒤의 과거 시점 동안 계속된 행동을 나타냅니다."
다음 문장에서 옳은 문장을 고르시오.,He can plays the piano.,He can play the piano.,He can playing the piano.,He can played the piano.,b. He can play the piano.,"조동사 'can' 뒤에는 동사 원형이 와야 하며, 'plays'는 틀립니다."
다음 문장에서 문법적으로 옳지 않은 것을 고르시오.,I have finished my homework.,She has gone to the market.,They has arrived.,We have seen that movie.,c. They has arrived.,'They'는 복수 형이기 때문에 'has' 대신 'have'를 써야 합니다.
빈칸에 들어갈 적절한 전치사를 고르시오. He is interested _______ learning languages.,on,in,at,about,b. in,'interested'는 'in'과 함께 사용됩니다.
다음 문장에서 올바른 문장을 고르시오.,She is used to wake up early.,She is used to waking up early.,She used to wake up early.,She using to wake up early.,b. She is used to waking up early.,"'used to'는 '~하는 것에 익숙하다'라는 의미로, 동명사를 사용합니다."
다음 문장에서 빈칸에 가장 적합한 말을 고르시오. I suggest that he ________ more carefully.,works,work,worked,working,b. work,'suggest'는 that절에서 동사 원형을 사용합니다.
다음 중 문장의 시제와 일치하는 것은? They _____ to the park tomorrow.,go,will go,went,gone,b. will go,"미래 시제를 나타내는 'will + 동사원형'이 적절하며, 'tomorrow'와 시제 일치가 중요합니다."
"다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. If I _____ you, I would apologize.",was,were,am,be,b. were,가정법 과거에서 주어가 'I'인 경우에는 'were'를 사용합니다.
다음 문장에서 빈칸에 들어갈 적절한 단어를 고르시오. She is good at _____ the piano.,play,playing,played,plays,b. playing,"'be good at' 뒤에는 동사 원형 또는 동명사가 올 수 있으며, 여기서는 동명사 'playing'이 적합합니다."
다음 문장에서 문법적 오류를 찾으시오. Neither of the boys _____ finished their homework.,have,finished,their,None,a. have,"'Neither'는 단수취급이므로 'has'가 옳으며, 'have'는 오류입니다."
다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. He _____ like pizza.,does,like,liked,liking,a. does,"일반 현재 시제에서 3인칭 단수 주어와 함께 'does'를 사용하며, 동사 원형이 뒤따릅니다."
다음 문장에서 빈칸에 알맞은 표현을 넣으시오. I suggest that he _____ harder.,studies,study,studied,studying,b. study,"'suggest that' 구문에서는 동사원형을 써야 하며, 따라서 'study'가 적합합니다."
다음 문장에서 문법적으로 올바른 것을 고르시오. She _____ working here for five years.,has been,have been,had been,is,a. has been,"현재완료진행형은 'has been + 동사 원형 + ing' 형태로, 지속적 행위를 나타냅니다."
"다음 문장에서 문법적 오류를 찾으시오. If he had studied harder, he would have passed the exam.",had studied,would have passed,None,both a and b,c. None,"이 문장은 가정법 과거완료 구조로, 올바르게 사용되었으며 오류가 없습니다."
다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. She often ___ her homework before dinner.,finish,finishes,finished,finishing,b. finishes,"현재 시제의 일반 동사 사용에 관한 문제입니다. ""She often""은 반복적인 행동을 나타내므로 동사에 -s를 붙인 현재 시제 형태가 맞습니다."
다음 빈칸에 들어갈 가장 알맞은 것은 무엇입니까? I ___ to the store yesterday.,go,went,gone,going,b. went,"과거 시제를 나타내기 위해 ""go""의 과거형인 ""went""를 사용해야 합니다. 과거 시제 문장입니다."
"다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. If I ___ you, I would apologize.",am,was,were,be,c. were,"가정법 과거를 사용하는 조건문입니다. ""If + 주어 + 과거형""이 올바르며, 여기서는 ""were""가 적합합니다."
다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. They have been living in Paris ___ 2010.,since,for,during,until,a. since,"""since + 특정 시점""은 특정 시점 이후 지속된 동작에 사용됩니다. ""2010""이 그 시점입니다."
다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. Neither the teacher nor the students ___ prepared for the test.,was,were,are,is,b. were,"복수 주어 ""neither...nor""는 동사를 복수형으로 취합니다. 따라서 ""were""가 맞습니다."
다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. She ___ to the concert if she ___ enough money.,will go / has,goes / will have,will go / had,goes / had,a. will go / has,"미래의 가능성을 나타내는 조건문이며, ""if""절에는 현재 시제 ""has""가 오고, 주절에는 ""will""이 사용됩니다."
다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. The book ___ on the table when I arrived.,was lying,lay,laid,lying,a. was lying,"과거 진행형을 사용하여 ""그 책이 그때 책상이 위에 누워 있었다""는 의미를 나타냅니다."
다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. She ___ already ___ her homework when I called her.,has / finished,had / finished,have / finished,has / finishing,b. had / finished,"과거 완료 시제 사용으로, ""내가 그녀에게 전화했을 때 그녀는 이미 숙제를 끝냈다""는 의미입니다."
"다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. By the time he arrives, we ___ dinner.",will have,will have had,have,had,a. will have,"미래 완료 시제로, ""그가 도착할 때까지 우리는 저녁을 먹고 있을 것이다""라는 의미입니다."
다음 문장에서 밑줄 친 부분이 문법적으로 올바른 것을 고르시오. She is good at ___ piano.,play,playing,played,to play,b. playing,"""be good at"" 뒤에는 동명사인 ""playing""이 와야 합니다."
다음 문장에서 밑줄 친 부분 중 문법적으로 옳은 것을 고르시오. She ____ to school every day.,go,goes,gone,going,b. goes,"현재 시제 동사 'go'의 3인칭 단수형은 'goes'입니다. 따라서 문장은 ""She goes to school every day.""가 맞습니다."
다음 빈칸에 알맞은 전치사를 고르시오. He is good ____ playing the piano.,at,in,on,with,a. at,'good at ~'는 '~에 능하다'라는 의미로 사용됩니다. 따라서 정답은 'at'입니다.
"다음 문장에서 밑줄 친 부분의 시제와 의미가 일치하는 것을 고르시오. By next year, she ____ her college course.",finishes,will finish,will have finished,finished,c. will have finished,"""By next year""라는 시간 표현은 미래완료 시제와 함께 사용되며, ""그녀는 내년까지 대학 과정을 끝낼 것이다""라는 의미입니다. 따라서 정답은 'will have finished'입니다."
"다음 문장에서 밑줄 친 부분의 문법적 오류를 고치시오. If I will see him tomorrow, I will tell him.",will see,will tell,if,tomorrow,a. will see,"조건문에서 'if'절은 현재 시제를 써야 하며, 결과절은 'will'을 써서 미래를 나타냅니다. 따라서 올바른 문장은 ""If I see him tomorrow, I will tell him.""입니다."
다음 문장에서 밑줄 친 부분의 문법적 오류를 고치시오. Neither of the students have completed their homework yet.,Neither,have completed,their,yet,b. have completed,"'Neither'는 단수 주어이므로, 동사는 'has'를 써야 합니다. 올바른 문장은 ""Neither of the students has completed his or her homework yet."" 또는 'their'를 사용하려면 'students'가 복수이니 'have'가 맞지만, 'neither'는 단수이므로 'has'가 정답입니다."
다음 문장에서 밑줄 친 부분이 올바른 문법인지 고르시오. She doesn’t likes coffee.,doesn’t likes,likes,doesn’t,coffee,c. doesn’t,"'doesn't'는 3인칭 단수일 때 'like'와 함께 쓰이며, 'likes'가 아니라 'like'가 맞습니다. 정답은 'doesn't'."
다음 문장에서 빈칸에 알맞은 접속사를 고르시오. I will call you ____ I arrive at the station.,and,but,when,because,c. when,"'when'은 시간 접속사로, '내가 도착할 때'라는 의미를 전달합니다."
다음 문장에서 밑줄 친 부분의 시제와 의미가 일치하는 것을 고르시오. She was watching TV when I called her.,미래 진행,과거 진행,현재 진행,현재 완료,b. 과거 진행,"'was watching'은 과거의 진행형으로, 그 순간에 TV를 보고 있었다는 의미입니다."
다음 문장에서 밑줄 친 부분의 문법적 오류를 고치시오. Each of the boys have their own bicycle.,each,have,their,own,b. have,'Each'는 단수주어이므로 동사는 'has'를 써야 합니다. 정답은 'has'.
다음 문장에서 빈칸에 알맞은 조동사를 고르시오. You ____ see a doctor if the pain continues.,should,can,might,must,a. should,"'should'는 권고 또는 충고를 나타내는 조동사로, '너는 의사를 만나야 한다'라는 의미입니다."
My sister _____ to school every day.,go,goes,going,gone,b,주어가 3인칭 단수 (My sister)이고 매일 하는 행동이므로 현재 시제를 사용하며 동사에 '-es'를 붙입니다.
Birds _____ fly high in the sky.,must,can,should,would,b,새가 하늘 높이 날 수 있다는 '능력'을 나타내므로 조동사 'can'이 적절합니다.
The girl _____ is wearing a red dress is my cousin.,which,whose,who,what,c,선행사가 사람 (The girl)이고 관계대명사가 주어 역할 (is wearing)을 하므로 'who'가 적절합니다.
This old house _____ in 1990.,built,builds,was built,is building,c,"집이 지어진 것은 수동적인 행동이며, 1990년이라는 과거 시점이 있으므로 과거 수동태 'was built'가 올바릅니다."
My brother is _____ than I am.,tall,taller,tallest,more tall,b,두 대상을 비교할 때 사용하는 비교급 형태는 형용사 뒤에 '-er'을 붙입니다. (tall -> taller)
A lot of students _____ interested in the new club.,is,are,am,be,b,'A lot of students'는 복수 주어이므로 복수 동사 'are'가 와야 합니다.
The book is _____ the table.,in,at,on,by,c,책이 테이블 표면 위에 놓여 있음을 나타내므로 전치사 'on'이 적절합니다.
I _____ never _____ sushi before.,have / eaten,has / eat,am / eating,was / ate,a,'before'와 함께 과거부터 현재까지의 경험을 나타내는 표현이므로 현재완료 시제 (have + 과거분사)를 사용합니다.
"It was raining heavily, _____ we still went out.",so,but,or,for,b,"비가 많이 왔음에도 불구하고 나갔다는 내용으로, 서로 상반되는 상황을 연결할 때는 접속사 'but'을 사용합니다."
He gave the present to _____.,she,her,hers,she's,b,전치사 'to' 뒤에는 목적격 대명사가 와야 하므로 'her'가 올바릅니다.
My sister _______ to school every day.,goes,is going,went,go,a,'every day'는 매일 반복되는 습관을 나타내므로 현재 시제를 사용해야 합니다. 주어가 3인칭 단수 'My sister'이므로 동사 'go'는 'goes'가 됩니다.
I _______ a delicious pizza yesterday.,eat,ate,eating,have eaten,b,'yesterday'는 어제 일어난 과거의 특정 시점을 나타내므로 과거 시제를 사용합니다. 'eat'의 과거형은 'ate'입니다.
Look! The children _______ in the park right now.,play,played,are playing,plays,c,'Look!'과 'right now'는 지금 이 순간 진행 중인 동작을 나타내므로 현재 진행형(be + -ing)을 사용해야 합니다. 주어 'The children'은 복수이므로 'are playing'이 맞습니다.
I met a girl _______ lives next door to me.,which,whose,who,where,c,"선행사 'a girl'은 사람이며, 뒤에 오는 절 'lives next door to me'에서 주어 역할을 하는 관계대명사가 필요하므로 'who'가 적절합니다."
My brother is _______ than me.,taller,tall,tallest,more tall,a,'than'은 두 대상을 비교할 때 사용하므로 비교급 형용사가 필요합니다. 'tall'은 한 음절 형용사이므로 '-er'을 붙여 비교급 'taller'를 만듭니다.
English _______ all over the world.,speaks,is spoken,spoke,speaking,b,"영어가 스스로 말하는 것이 아니라, 다른 사람들에 의해 '말해지는' 것이므로 수동태가 필요합니다. 전 세계적으로 통용되는 일반적인 사실이므로 현재 시제 수동태(be동사 현재형 + 과거분사)인 'is spoken'이 정답입니다."
I _______ swim when I was five years old.,must,can,could,should,c,"'when I was five years old'는 과거의 한 시점을 나타내며, 그 때의 능력을 표현하므로 'can'의 과거형인 'could'가 적절합니다."
The students in my class _______ very hard for the exam.,studies,study,studying,is studying,b,"주어는 'The students'(복수)이므로, 동사도 복수형에 맞춰야 합니다. 현재 시제에서 복수 주어 뒤에는 동사 원형 'study'를 사용합니다."
She is good at _______ English.,speak,spoke,speaking,speaks,c,전치사 'at' 뒤에는 동명사(-ing 형태)가 와야 합니다. 따라서 'speaking'이 올바른 형태입니다.
"If it rains tomorrow, we _______ stay home.",will,will to,would,would have,a,"이것은 1형 조건문(If + 현재 시제, 주어 + will + 동사 원형)입니다. 미래에 일어날 가능성이 있는 일에 대한 결과를 나타내므로 'will'이 맞습니다."
